iter	Passed	Remaining
0	141	141460
1	146	73058
2	151	50473
3	157	39104
4	162	32258
5	167	27724
6	172	24516
7	176	21849
8	178	19691
9	181	17937
10	183	16526
11	185	15311
12	188	14284
13	190	13419
14	192	12609
15	193	11891
16	194	11261
17	196	10724
18	197	10211
19	199	9757
20	200	9365
21	201	8978
22	203	8628
23	204	8307
24	205	8006
25	206	7730
26	207	7475
27	208	7230
28	209	7005
29	210	6797
30	211	6598
31	212	6414
32	213	6244
33	214	6087
34	215	5934
35	216	5789
36	217	5650
37	218	5521
38	218	5395
39	219	5277
40	220	5165
41	221	5059
42	222	4958
43	223	4860
44	224	4768
45	225	4680
46	226	4595
47	227	4517
48	228	4442
49	229	4366
50	230	4294
51	231	4224
52	232	4156
53	233	4092
54	234	4028
55	235	3968
56	236	3910
57	237	3854
58	238	3799
59	239	3745
60	239	3694
61	240	3643
62	241	3597
63	242	3552
64	243	3506
65	244	3464
66	245	3422
67	246	3381
68	247	3341
69	248	3301
70	249	3262
71	250	3225
72	251	3189
73	252	3153
74	252	3118
75	253	3085
76	254	3053
77	255	3021
78	256	2992
79	257	2962
80	258	2933
81	259	2904
82	260	2873
83	260	2846
84	262	2820
85	262	2794
86	263	2769
87	264	2744
88	265	2720
89	266	2695
90	267	2672
91	268	2650
92	269	2627
93	270	2605
94	271	2584
95	272	2564
96	273	2544
97	274	2523
98	275	2504
99	276	2486
100	277	2467
101	278	2448
102	279	2430
103	279	2411
104	280	2393
105	281	2377
106	282	2360
107	283	2343
108	284	2326
109	285	2311
110	286	2295
111	287	2280
112	288	2264
113	289	2249
114	290	2234
115	291	2219
116	291	2203
117	292	2188
118	293	2174
119	294	2160
120	295	2147
121	296	2132
122	297	2119
123	298	2106
124	299	2093
125	300	2081
126	301	2069
127	302	2058
128	303	2045
129	303	2033
130	304	2021
131	305	2010
132	306	1998
133	307	1987
134	308	1976
135	309	1966
136	310	1955
137	311	1944
138	312	1933
139	313	1923
140	314	1913
141	314	1901
142	315	1892
143	316	1883
144	317	1873
145	318	1863
146	319	1854
147	320	1844
148	321	1835
149	322	1826
150	323	1817
151	324	1808
152	325	1800
153	325	1790
154	326	1782
155	327	1774
156	328	1765
157	329	1757
158	330	1750
159	331	1741
160	332	1732
161	333	1724
162	334	1716
163	335	1709
164	336	1701
165	337	1693
166	338	1686
167	338	1678
168	339	1671
169	340	1663
170	341	1656
171	342	1649
172	343	1641
173	344	1634
174	346	1632
175	347	1625
176	348	1618
177	349	1612
178	349	1605
179	350	1598
180	351	1592
181	352	1585
182	353	1579
183	354	1572
184	355	1565
185	356	1559
186	357	1553
187	358	1547
188	359	1543
189	360	1538
190	362	1535
191	363	1529
192	364	1523
193	365	1518
194	366	1512
195	367	1506
196	368	1501
197	369	1495
198	370	1489
199	371	1484
200	372	1479
201	372	1473
202	374	1468
203	375	1463
204	376	1458
205	377	1453
206	377	1448
207	379	1443
208	380	1438
209	381	1433
210	381	1428
211	382	1422
212	383	1417
213	384	1412
214	385	1407
215	386	1403
216	387	1398
217	388	1393
218	389	1389
219	390	1384
220	391	1379
221	392	1374
222	393	1370
223	394	1365
224	395	1361
225	396	1356
226	396	1351
227	397	1347
228	398	1342
229	399	1338
230	400	1333
231	401	1329
232	402	1325
233	403	1322
234	404	1318
235	405	1313
236	406	1309
237	407	1305
238	408	1300
239	409	1296
240	410	1292
241	411	1287
242	412	1283
243	412	1279
244	413	1275
245	414	1271
246	415	1267
247	416	1263
248	417	1259
249	418	1255
250	419	1251
251	420	1247
252	421	1243
253	422	1239
254	422	1235
255	423	1231
256	424	1228
257	425	1224
258	426	1220
259	427	1216
260	428	1212
261	429	1209
262	430	1205
263	431	1202
264	432	1198
265	433	1195
266	433	1191
267	434	1187
268	435	1183
269	436	1179
270	437	1176
271	438	1172
272	439	1169
273	440	1166
274	440	1162
275	441	1159
276	442	1155
277	443	1152
278	444	1149
279	445	1145
280	446	1142
281	447	1139
282	448	1136
283	449	1132
284	450	1129
285	451	1126
286	452	1122
287	453	1119
288	453	1116
289	454	1113
290	455	1110
291	456	1107
292	457	1104
293	458	1101
294	459	1098
295	460	1095
296	461	1092
297	462	1089
